대장아이디,시군구,읍면동,리,지번,기타지번,위도_도,위도_분,위도_초,경도_도,경도_분,경도_초,취약지역유형,지정면적_제곱미터,대피장소,취약지역지정사유,지정일,"지정등급_A,B,C,D"
172,진주시,금곡면,인담리,1274-9구,,35,6,58.895,128,10,22.339,토석류,1355,신담경로회관,"계류 주변부 사면 침식으로 퇴적물들이 지속적으로 유입되고 있음. 장기적으로는 붕괴유실물이 적치될 경우, 집중호우등과 같은 외부적인 조건에 의해 계류수가 증가하면서 토석류의 형태로 발생될 가능성이 있으므로 하부 경작지에 피해가 발생되지 않도록 대책을 마련하는 것이 필요하다고 판단됨.",2017-06-28,
173,진주시,미천면,어옥리,산398임,,35,18,6.067,128,9,13.338,토석류,413,덕진마을회관,상류의 다수의 퇴적물이 하부로 유하될 경우 월류 발생이 우려되므로 산사태취약지역으로 선정하여야 할 것으로 판단됨.,2017-06-28,
174,진주시,이반성면,길성리,산46임,,35,9,1.302,128,20,25.624,토석류,924,계룡경로당,대상지는 계류 상류에 경사가 급하고 토사가 하류로 유출되고 있으며 계류의 침식으로 인하여 계류의 폭이 확장되고 있어 산사태 취약지역으로 선정함.,2017-06-28,
175,진주시,상봉동,,1422-1구,,35,12,11.166,128,4,51.449,토석류,703,감로심장회관,계류 내 토석류 및 퇴적물이 다수 분포하고 있으며 집중호우시 인가에 피해가 우려되므로 취약지역으로 지정관리 하여야 할 것으로 판단됨.,2017-06-28,
176,진주시,미천면,상미리,산125임,,35,20,24.5,128,8,20.2,토석류,849,신촌경로당,계류 양안 사면경사가 급한 지역으로 표층 유실이 관찰됨.,2018-06-25,
177,진주시,미천면,상미리,산253-1임,,35,19,49.7,128,7,31.8,토석류,2371,신촌경로당,강우 시 침수피해 발생지역. 계류 사면으로 식생이 불안정함.,2018-06-25,
178,진주시,미천면,미곡리,산28임,,35,19,7.8,128,6,58.8,토석류,1805,신촌경로당,계류 양측으로 침식이 발달한 지역임.  계류 상부로 퇴적물 관찰됨.,2018-06-25,
179,진주시,명석면,오미리,산39임,,35,16,4.8,127,59,24.5,토석류,3935,명석외율보건진료소,계류 내 퇴적물이 다수 관찰됨. 침식으로 인해 경작지 유실이 발생되었음. 과거 강우 발생으로 월류 피해가 발생된 이력이 존재함.,2018-06-25,
180,진주시,수곡면,원내리,산115구,,35,10,20.9,127,57,19.5,토석류,214,원당경로당,양측 사면부에 심한 침식으로 인하여 토사 유실이 발생중이므로 취약지역으로의 선정을 제안함.,2018-06-25,
181,진주시,수곡면,원내리,산14임,,35,10,19.4,127,57,11.199,토석류,27372,원당경로당,"계류 내 침식에 의한 뿌리노출, 토사유실 등 위험요소가 관찰됨에 따라 취약지역으로의 선정을 제안함.",2018-06-25,
182,진주시,미천면,안간리,368 전,,35,19,25.399,128,5,27.4,토석류,60000,미천초등학교,"대상지는 하부 인가가 다수 분포하고 있어 강우 시 산사태가 발생하거나 퇴적물과 붕괴 유실물이 토석류로 발생할 경우 인명 및 재산피해 가능성이 있으므로 산사태 예방을 위한 사방사업(계류보전)시행이 필요하며, 계류는 폭이 협소한 소규모 계류로 하부에 직접적으로 피해를 줄 수 있는 요인들은 관찰되지 않았으나, 지속적으로 토사가 유출되고 있는 상태로 판단됨에 따라 취약지역으로 선정하였음",2014-06-30,
183,진주시,대곡면,용암리,135 대,,35,19,18.199,128,9,49,토석류,545,용암회관,"대상지는 하부 인가가 다수 분포하고 있어 강우 시 산사태가 발생하거나 퇴적물과 붕괴 유실물이 토석류로 발생할 경우 인명 및 재산피해 가능성이 있으므로 산사태 예방을 위한 사방사업(계류보전)시행이 필요하며, 계류는 폭이 협소한 소규모 계류로 하부에 직접적으로 피해를 줄 수 있는 요인들은 관찰되지 않았으나, 지속적으로 토사가 유출되고 있는 상태로 판단됨에 따라 취약지역으로 선정하였음",2014-06-30,
184,진주시,집현면,지내리,402 대,,35,14,42.299,128,5,16.8,토석류,300,현동마을회관,"대상지는 하부 인가가 다수 분포하고 있어 강우 시 산사태가 발생하거나 퇴적물과 붕괴 유실물이 토석류로 발생할 경우 인명 및 재산피해 가능성이 있으므로 산사태 예방을 위한 사방사업(계류보전)시행이 필요하며, 계류는 폭이 협소한 소규모 계류로 하부에 직접적으로 피해를 줄 수 있는 요인들은 관찰되지 않았으나, 지속적으로 토사가 유출되고 있는 상태로 판단됨에 따라 취약지역으로 선정하였음",2014-06-30,
185,진주시,대곡면,가정리,349 전,,35,14,30.699,128,11,49.7,산사태,1000,오곡회관,"대상지는 하부 인가가 다수 분포하고 있어 강우 시 산사태가 발생하거나 퇴적물과 붕괴 유실물이 토석류로 발생할 경우 인명 및 재산피해 가능성이 있으므로 산사태 예방을 위한 사방사업(계류보전)시행이 필요하며, 계류는 폭이 협소한 소규모 계류로 하부에 직접적으로 피해를 줄 수 있는 요인들은 관찰되지 않았으나, 지속적으로 토사가 유출되고 있는 상태로 판단됨에 따라 취약지역으로 선정하였음",2014-06-30,
186,진주시,명석면,오미리,산415 구,,35,14,34.799,127,59,57.5,토석류,915,시목경로당,"대상지는 침식 및 세굴이 다수 관측되어 퇴적물과 붕괴 유실물이 토석류로 발생할 경우 인명 및 재산피해 가능성이 있으므로 이에 대한 사전 예방대책이 필요한 지역으로 산사태 예방을 위한 사방사업(계류보전)시행이 필요하며, 계류는 지속적인 풍화로 인해서 일부 구간 황폐화가 이루어진 상태로 집중호우 시 우수의 흐름에 의해 토사가 유출될 수 있음에 따라 취약지역으로 선정하였음",2014-06-30,
187,진주시,대곡면,덕곡리,1654 도,,35,14,1.399,128,11,58.2,토석류,625,오곡회관,"대상지는 계류 주변에 급경사를 이루는 사면이 관찰되며, 해당 구간에는 붕괴가 발생한 구간이 다수 관찰되는 상태로 집중호우 시 유실물이 하부까지 이동, 퇴적될 가능성이 있으므로 이에 대한 사전 예방대책이 필요한 지역으로 산사태 예방을 위한 사방사업(계류보전)시행이 필요하며, 집중호우 시 우수의 흐름에 의해 토사가 유출될 수 있음에 따라 취약지역으로 선정하였음",2014-06-30,
188,진주시,내동면,유수리,산232임,,35,7,28.197,128,0,22.646,토석류,1545,가호경로당,상류의 다수의 퇴적물이 하부로 유하될 경우 월류 발생이 우려되므로 산사태취약지역으로 선정하여야 할 것으로 판단됨,2018-06-25,
189,진주시,금곡면,성산리,1085구,,35,3,39.513,128,11,13.271,토석류,1122,성산부락노인회관,"상류의 퇴적물이 하류에 유하되어 퇴적된 상태를 보이며, 경작지 기슭유실이 진행 중에 있어 산사태취약지역으로 선정하여야 할 것으로 판단됨",2018-06-25,
190,진주시,집현면,정수리,산218임,,35,17,1.664,128,5,9.061,토석류,2508,철수경로당,"조사 시점부 월류 가능성이 높고, 붕괴지 및 침식 등이 관찰되므로 취약지역으로의 선정을 제안함",2018-06-25,
191,진주시,집현면,대암리,산101임,,35,16,5.189,128,5,1.689,토석류,1939,대암경로당,면상침식이 발생하여 토사가 유실되어 계류 내부로 유입되고 있음. 또한 토석이 퇴적되어 계상퇴적지가 다수 관찰되므로 취약지역으로의 선정을 제안함,2018-06-25,
192,진주시,집현면,정평리,산158임,,35,16,41.6,128,3,59,토석류,3618,집현대암보건진료소,"계류 폭이 좁아 월류 발생 가능성이 높고, 우측 기슭으로 면상침식이 다수 관찰되므로 취약지역으로의 선정을 제안함",2018-06-25,
193,진주시,대평면,상촌리,산212임,,35,12,34.51,127,57,20.565,토석류,1397,대평면사무소,토석류 흔적이 관찰되는 계류로서 계상에 퇴적지가 관찰되므로 취약지역으로의 선정을 제안함,2018-06-25,
194,진주시,집현면,덕오리,1414대,,35,15,9.803,128,6,53.67,산사태,135,오동경로당,표층 붕괴로 인한 전석의 이탈이 나타나며 일부구간의 공동형성이 관찰됨. 땅밀림으로 인한 표층 붕괴가 확인되므로 취약지역으로의 선정을 제안함,2018-06-25,
195,진주시,수곡면,원계리,산30,,35,12,5.8,127,35,44.2,토석류,160,원계마을회관,유출구 지점에 토석류의 흔적이 보이며 상부로 올라갈수록 전석 및 퇴적물들이 다수 분포하고 있어 집중호우 시 호우로 인한 침식의 이동 흔적이 관찰됨.,2016-06-01,
196,진주시,집현면,정평리,산207,,35,16,4.38,128,3,59.53,토석류,1000,정평리마을회관,대상지인 집현면 정평리 산207번지 일원의 계류로써 경사가 급하여 과거 집중호우로 인한 계류주변 산지의 침식으로 계류의 폭이 점차 확장되고 있어 산사태 예방을 위한 사방사업(계류보전) 대상지로 적정한 지역임.,2013-08-19,
197,진주시,미천면,효자리,832구,,35,19,54.7,128,5,53.4,토석류,531,동전진료소,"계류로 전 구간에 걸쳐 사면 붕괴 및 농경지 침식현상이 발견되며 퇴적 암반사면의 층리면에서 붕락된 소규모 전석이 다수 분포하고 있으며 세굴과 침식이 진행 중으로 토석류가 하부 인가, 도로, 농경지에 피해를 주고 있어 취약지역으로 선정함.",2016-06-01,
198,진주시,정촌면,대축리,산30,,35,10,6.3,128,21,19.4,토석류,560,대방마을경로당,본 지역은 하절기 집중호우 시 유속 및 유량증가로 구거 양안의 침식이 계속 발생되어 하부에 있는 인가와 농경지 피해가 우려됨에 따라 계류양안 정비를 통한 주변토지 안정화로 주민 생활권지역 보전을 위한 사방사업(계류보전)의 시행이 필요한 지역으로 판단됨.,2015-07-28,
199,진주시,미천면,상미리,산63,,35,20,30.8,128,8,49.2,토석류,1000,대곡마을회관,"대상지는 하부 인가가 있어 강우 시 산사태가 발생하거나 퇴적물과 붕괴 유실물이 토석류로 발생할 경우 인명 및 재산피해 가능성이 있으므로 이에 대한 사전 예방대책이 필요한 지역으로 산사태 예방을 위한 사방사업(계류보전)시행이 필요하며, 집중호우 시 우수의 흐름에 의해 토사가 유출될 수 있음에 따라 취약지역으로 선정하였음",2014-06-30,
200,진주시,금곡면,인담리,산231-4,,35,6,33.1,128,9,56.5,토석류,1000,상인담경로당,대상지는 금곡면 인담리 상인담마을 하부의 산림과 농경지 사이를 흐르는 황폐한 계류로 상류 지역은 경사가 급하고 본류와 여러 지류에서 발생된 토사가 하류로 유출되고 있으며 계류의 침식으로 인하여 계류의 폭이 확장되고 있어 산사태 예방을 위한 사방사업(사방댐) 대상지로 적정한 지역임.,2014-06-30,
201,진주시,지수면,청담리,산8,,35,14,44.527,128,17,25.902,산사태,1000,청담마을회관,대상지는 하절기 집중호우시 산지의 붕괴？침식이 일부 발생되어 연접된 사찰의 피해가 우려됨에 따라 산사태 예방을 위한 사방사업(산지사방)이 필요한 지역이라 판단됨.,2013-08-19,
202,진주시,집현면,냉정리,산145,,35,15,52.875,128,5,17.586,토석류,400,대암마을회관,"대상지는 집현면 냉정리 산143, 145번지 일원의 계류로써 경사가 급하여 계류주변 경사면의 붕괴 및 침식으로 인해 계류의 폭이 점차 확장되고 있으므로 산사태 예방을 위한 사방사업(계류보전)시행이 필요하며, 대상지 선정에 적정한 지역임.",2013-08-19,
203,진주시,수곡면,효자리,산242임,,35,10,59.727,127,56,11.163,토석류,816,요산마을경로당,유출구 하부 방향으로 인가들이 다수 분포하고 있으며 계류상부 위험사면에 수목전도현상이 관찰 됨. 유출구 하부에 위치한 인가에서 인명 및 재산피해 발생을 예방하기 위해 취약지역으로 선정 및 관리가 필요할 것으로 사료됨.,2017-06-28,
204,진주시,이반성면,길성리,산228,,35,7,35,128,19,47.5,토석류,1650,수성마을회관,본 지역은 하절기 집중호우 시 유속 및 유량증가로 구거 양안의 침식이 계속 발생되어 하부에 있는 사찰과 농경지 피해가 우려됨에 따라 유속 저감과 토사유출 방지를 위한 사방사업(사방댐)시행이 필요한 지역으로 판단됨.,2015-07-28,
205,진주시,미천면,벌당리,산74,,35,16,59.8,128,7,9.2,산사태,1000,정성마을회관,대상지는 2011년 집중호우로 산사태가 일어나 수해복구사업을 한 지역으로 추가 붕괴가 우려됨에 따라 산사태 예방을 위한 사방사업(산지사방)이 필요한 지역이라 판단됨.,2013-08-19,
206,진주시,정촌면,대축리,1170,,35,8,4.48,128,4,3.23,토석류,300,심대경로당,"대상지는 정촌면 대축리 심대마을 상부의 산림과 농경지 주변의 계류로써 주변에는 관상수 재배지, 농경지 등이 있고 집중호우로 계류양안 침식이 발생되어 계류의 폭이 점차 확장되고 있어 산사태 예방을 위한 사방사업(계류보전)대상지로 적정한 지역임.",2013-08-19,
207,진주시,문산읍,안전리,산190-1,,38,8,32.9,128,11,24.5,토석류,60000,동방새마을회관,"대상지는 계류 및 주변에 위치한 양안붕괴지에서 붕괴된 흔적이 보이며, 강우 시 계류 내에서의 급격한 유량의 증가가 예상이 되어 이에 대한 사전 예방대책이 필요한 지역으로 산사태 예방을 위한 사방사업(계류보전)시행이 필요하며, 집중호우 시 우수의 흐름에 의해 토사가 유출될 수 있음에 따라 취약지역으로 선정하였음",2014-06-30,
208,진주시,진성면,구천리,산91,,35,9,41,128,13,59.4,토석류,600,구천경로당,"대상지는 진성면 구천리 산91번지 일원의 계류로써 경사가 급하여 과거 집중호우시 계류주변 경사면의 붕괴 및 침식으로 인해 계류의 폭이 점차 확장되고 있으므로 산사태 예방을 위한 사방사업(계류보전)시행이 필요하며, 대상지 선정에 적정한 지역임.",2014-06-30,
209,진주시,이반성면,용암리,산138구,,35,9,40.5,128,20,8.5,토석류,169,용암경로당,전구간 바닥부 기반암이 노출되어 계상내 양안 사면으로부터 붕락된 소규모 전석 및 유목등 유송잡물이 많으며 좌안사면은 붕괴 및 세굴이 진행 중으로 계류보전 사업이 필요함.,2020-06-26,
210,진주시,정촌면,관봉리,산241-1,,35,8,10.12,128,8,52.38,토석류,891,관봉초등학교,조사 시점 부에 붕괴지 및 침식 등이 관찰되므로 취약지역으로 선정을 하고자 함,2018-06-25,
211,진주시,명석면,용산리,산322,,35,13,39.7,128,2,9.6,토석류,2154,조비마을경로당,본 지역은 하절기 집중호우 시 유속 및 유량증가로 구거 양안의 침식이 계속 발생되고 있어 하부에 있는 인가와 농경지에 피해가 우려됨에 따라 계류양안 안정화를 통하여 주변 토지와 주민피해를 최소화 할 수 있도록 사방사업(계류보전)의 시행이 필요한 지역으로 판단됨.,2015-07-28,
212,진주시,명석면,신기리,868구,,35,16,36.2,128,1,51.7,토석류,600,동전마을회관,대상지는 금곡면 인담리 상인담마을 상부의 산림과 농경지 사이를 흐르는 황폐한 계류로 상류 지역은 경사가 급하고 본류와 여러 지류에서 발생된 토사가 하류로 유출되고 있으며 계류의 침식으로 인하여 계류의 폭이 확장되고 있어 산사태 예방을 위한 사방사업(사방댐) 대상지로 적정한 지역임.,2013-08-19,
213,진주시,대곡면,용암리,593구,,35,19,43.1,128,9,51.5,토석류,1100,용암마을회관,"계류 양안에 붕괴지가 다수 나타나고 있으며 세굴이 발생하여 식생 뿌리 노출이 많이 있으며, 토석류가 계류에 유입되고 있음. 사면 직하부 및 양측 방향으로 도로 및 농경지가 인접하고 있어 산사태 발생시 재산피해의 우려가 있어 사방사업이 필요할 것으로 사료됨",2016-06-01,
214,진주시,금곡면,송곡리,산121,,35,8,24.3,128,12,18,토석류,620,해당사항없음(인가없음),본 지역은 하절기 집중호우 시 유속 및 유량증가로 구거 양안의 침식이 계속 발생되고 있어 하부에 있는 농경지에 피해가 우려됨에 따라 계류양안 안정화를 통하여 주변 토지와 재산피해를 최소화 할 수 있도록 사방사업(사방댐)의 시행이 필요한 지역으로 판단됨.,2015-07-28,
215,진주시,일반성면,답천리,1231유,,35,8,58.5,128,17,4.5,토석류,1745,해당사항없음(인가없음),o 유출구 하부에 지방도로가 있으며 집중호우 시 위험사면의 붕괴로 인하여 산사태 및 토석류가 발생할 가능성이 있음. 측방침식의 발생으로 강우 시 빗물에 의한 사면에서 퇴적물이 발생하고 계상에서 세굴현상이 관찰되고 있음,2016-06-01,
216,진주시,정촌면,관봉리,산172,,35,7,52.719,128,9,18.069,산사태,1000,고미마을회관,대상지는 하절기 집중호우 시 산지의 붕괴ㆍ침시이 일부 발생되어 연접된 농경지의 피해가 우려됨에 따라 산사태 예방을 위한 사방사업(산지사방)이 필요한 지역이라 판단됨.,2013-08-19,
217,진주시,명석면,신기리,산230,,35,16,51.1,128,1,53.9,토석류,1100,동전진료소,"대상지는 계류로써 경사가 급하여 과거 집중호우시 계류주변 경사면의 붕괴 및 침식으로 인해 계류의 폭이 점차 확장되고 있으므로 산사태 예방을 위한 사방사업(계류보전)시행이 필요하며, 대상지 선정에 적정한 지역임.",2016-06-01,
218,진주시,이반성면,발산리,953-8구,,35,8,18.2,128,21,12.4,토석류,900,발산경로당,계류의 폭이 넓으며 자갈 및 모래 등의 퇴적물들이 집중적으로 쌓여있는 구간이 넓게 분포되어 있음. 장마철이나 집중호우 시 유량이 증가하며 하부에 위치한 인가로의 인명 및 재산의 피해발생이 우려되는 지역으로 이를 막아줄 계류보전의 설치가 필요하다고 판단됨.,2016-06-01,
219,진주시,명석면,신기리,630,,35,17,47.7,128,2,1.5,토석류,600,신기마을회관,"대상지는 명석면 신기리 산43번지 일원의 계류로써 상류에는 임도가 개설되어 있으며 경사가 급하여 과거 집중호우로 인해 계류주변 산지의 붕괴 및 침식이 발생하였으며, 이후 계류의 폭이 점차 확장되고 있어 산사태 예방을 위한 사방사업(계류보전)시행이 필요하며, 대상지 선정에 적정한 지역임.",2013-08-19,
220,진주시,문산읍,안전리,산195,,35,8,28.2,128,11,21.4,토석류,737,동방새마을회관,본 지역은 하절기 집중호우 시 유속 및 유량증가로 구거 양안의 침식이 계속 발생되고 있어 하부에 있는 인가와 농경지에 피해가 우려됨에 따라 계류양안 안정화를 통하여 주변 토지와 주민피해를 최소화 할 수 있도록 사방사업(계류보전)의 시행이 필요한 지역으로 판단됨.,2015-07-28,
221,진주시,수곡면,원내리,산4,,35,10,39,127,57,26.5,토석류,1300,해당사항없음(인가없음),사면부 암반층 붕락으로 인한 토석류의 유입이 있고 토심이 낮아 유목이 다수 존재하여 붕괴지의 확대 및 유량증가 시 인가에 직접적인 피해가 심각할 것으로 판단됨. 또한 계류부 좌안에 주로 관찰되는 붕괴지는 점차적으로 확대될 가능성이 높아 계류보전사업 사업을 통한 안전을 확보해야할 것으로 사료됨.,2016-06-01,
222,진주시,금산면,갈전리,1551구,,35,10,45.7,128,9,53.2,토석류,700,진주장애인복지센터,"계류 내 침식 및 퇴적물이 관찰되며, 양안 사면의 세굴 및 토사 슬라이딩이 진행 중으로 집중 호우 시 하류부에 위치한 축사 및 시설물에 피해가 있을 것으로 판단되어 취약지역으로 선정함.",2016-06-01,
223,진주시,수곡면,원외리,산13,,35,10,7.8,127,56,28.7,토석류,2470,신촌마을회관,본 지역은 하절기 집중호우 시 유속 및 유량증가로 구거 양안의 침식이 계속 발생되고 있어 하부에 있는 농경지에 피해가 우려됨에 따라 계류양안 안정화를 통하여 주변 인가와 재산피해를 최소화 할 수 있도록 사방사업(계류보전)의 시행이 필요한 지역으로 판단됨.,2015-07-28,
224,진주시,내동면,삼계리,산62-1,,35,9,32.302,128,2,23.244,산사태,40000,해당사항없음(인가없음),대상지는 남강과 연접한 위치로써 유수에 의한 직접적인 산지침식으로 인해 수제부의 산지 붕괴가 발생한 지역으로 추가 산사태 방지를 위한 사방사업(산지사방)이 필요한 지역으로써 대상지 선정 적정함.,2013-08-19,
225,진주시,일반성면,답천리,산58-3,,35,9,4.5,128,17,13.5,토석류,900,해당사항없음(인가없음),o 산림과 농경지 사이를 흐르는 황폐한 계류로 경사면으 붕괴 및 침식으로 인해 계류의 폭이 확장되고 있으며 토사유실로 하부에 피해가 우려되므로 대상지 선정에 적정한 지역임.,2016-06-01,
226,진주시,집현면,덕오리,산182임,,35,15,9.057,128,6,52.208,산사태,135,오동경로당,표층 붕괴로 인한 전석의 이탈이 나타나며 일부구간의 공동형성이 관찰됨. 땅밀림으로 인한 표층 붕괴가 확인되므로 취약지역으로의 선정을 제안함,2017-06-28,
227,진주시,정촌면,대축리,산4,,35,8,14.717,128,5,9.575,산사태,1000,대방새마을회관,대상지는 정촌면 대축리 대방마을 상부의 산림으로 하절기 집중호우시 산지의 붕괴ㆍ침식이 일부 발생되어 연접된 농경지의 피해가 우려됨에 따라 산사태 예방을 위한 사방사업(산지사방)이 필요한 지역이라 판단됨.,2013-08-19,
228,진주시,금곡면,인담리,산189,,35,6,5.3,128,9,54.7,토석류,1000,상인담경로당,대상지는 금곡면 인담리 상인담마을 상부의 산림과 농경지 사이를 흐르는 황폐한 계류로 상류 지역은 경사가 급하고 본류와 여러 지류에서 발생된 토사가 하류로 유출되고 있으며 계류의 침식으로 인하여 계류의 폭이 확장되고 있어 산사태 예방을 위한 사방사업(사방댐) 대상지로 적정한 지역임.,2014-06-30,
229,진주시,진성면,대사리,산21-5,,35,9,12.3,128,15,57.2,토석류,400,해당사항없음(인가없음),유출구외 최상부에 전석 및 암석의 분포비율이 높게 나타나며 계류 내 퇴적물들이 집중적으로 쌓이는 구간들이 곳곳에 관찰됨. 집중호우시 사면으로부터 퇴적물이 유입되고있어 바부 농경지에 피해발생,2016-06-01,
230,진주시,수곡면,대천리,산74-1,,35,12,16.4,127,56,17,토석류,1608,해당사항없음(인가없음),본 지역은 하절기 집중호우 시 유속 및 유량증가로 구거 양안의 침식이 계속 발생되고 있어 하부에 있는 농경지에 피해가 우려됨에 따라 계류양안 안정화를 통하여 주변 토지와 재산피해를 최소화 할 수 있도록 사방사업(계류보전)의 시행이 필요한 지역으로 판단됨.,2015-07-28,
231,진주시,수곡면,자매리,산10-1,,35,14,54.086,127,55,36.332,토석류,500,자매마을회관,대상지는 수곡면 자매리 팔암산 일원의 계류로써 집중호우시 하류의 사찰(선암사) 주변에 토사퇴적으로 인한 계류 범람으로 사찰 가옥과 하류부 농경지 피해 우려가 있어 산사태 예방을 위해 사방사업(계류보전)시행이 필요한 지역임,2013-08-19,
232,진주시,명석면,신기리,산13임,,35,17,58.2,128,2,12.7,토석류,1400,신기경로당회관,해당 사면 하부 임도와 연접하고 있어 사태 발생 시 재산피해의 우려가 있으므로 취약지역으로 선정 및 관리가 필요할 것으로 사료됨.,2017-06-28,
233,진주시 ,명석면,남성리,738구,,35,17,32.586,128,3,9.032,토석류,1338,장흥부락새마을회관,계류 상부로 진입 시 전석 및 유목 등과 같은 퇴적물의 분포 비율이 높아지며 유출구 인가 계폭이 협소하여 강우 시 퇴적물로 인한 월류 발생이 우려되는 지역이므로 이를 방호하기 위한 시설물 설치가 필요한 것으로 판단됨,2022-05-25,
234,진주시,정촌면,관봉리,산277임,,35,8,15.643,128,8,11.043,산사태,411,관봉초등학교,포행으로 인한 붕괴 및 토사유실 현상이 관찰되는 지역이므로 강우 시 추가 붕괴로 인한 인가 피해를 예방하기 위한 사방사업이 필요한 지역임,2022-05-25,
235,진주시,진성면,상촌리,산195-3임,,35,10,43.976,128,13,2.923,산사태,2109,진성면사무소,대상지는 단차 및 지하수 용출 등과 같은 땅밀림 징후가 관찰되어 땅밀림 무인원격감시시스템이 구축된 상태로 지속적인 점검 및 관찰을 통해 땅밀림 진행 여부를 파악하고 있는 지역이므로 산사태취약지역으로 지정 및 관리가 필요한 것으로 사료됨,2022-05-25,
236,통영시,광도면,죽림리,산154,,34,53,26.1,128,23,52.5,토석류,412,홀리마을회관,"비교적 경사도는 낮으나, 유역면적 넓어  강우시 유량이 급격히 증가하여, 농지의 유실이 지속적으로 발생함",2020-06-24,
237,통영시,산양읍,남평리,산35-1,,34,49,0.4,128,23,27,토석류,395,산양읍사무소,인가 주변유역으로 찰쌓기 및 석축의 노후화로 토석류에 의한 유실등이 발생함,2020-06-24,
238,통영시,광도면,안정리,산179,,34,56,38.2,128,24,8.4,토석류,1968,벽방초등학교,"지류와 합류하는 구간이 침식, 붕괴발달로 황폐되었으며 다수의 유실물 적치됨",2020-06-24,
239,통영시,도산면,관덕리,산39,,34,54,54.2,128,23,4.1,토석류,2979,한퇴마을회관,하류부터 중간부까지 침식 및 유실물 다수 유입,2020-06-24,
240,통영시,도산면,법송리,산6,,34,54,36.9,128,22,10.9,토석류,1972,도산 상촌마을회관,계안 침식과 퇴적이 반복적으로 이루어지고 있어 집중호우 시 유출량 많을 것으로 예상됨,2020-06-24,
241,통영시,도산면,법송리,산5,,34,54,34.8,128,22,14.5,토석류,1172,도산 상촌마을회관,퇴적지 발달 및 다량의 전석 분포로 집중호우 시 하부 피해 우려,2020-06-24,
242,통영시,도산면,법송리,산17,,34,54,40.4,128,22,1.2,토석류,631,도산 상촌마을회관,"하류지역 합류지로 인해 유실, 세굴, 퇴적물 유입 및 적치",2020-06-24,
243,통영시,광도면,노산리,산205-4,,34,54,4.068,128,23,45.089,토석류,428,상노산마을회관,"상부로 갈수록 계류로 유입되는 석력의 비율이 높으며, 양안의 침식이 발달하여 계류가 황폐화 되고 있음.",2021-07-29,
244,통영시,도산면,관덕리,산148-1,,34,54,21.783,128,23,40.016,산사태,1593,한퇴새 마을회관,"토층과 암반의 경계면에 우수가 침투할 경우 산사태 또는 토사 유실이 발생하고, 수목의 전도로 인한 피해 가능성이 있음.",2021-07-29,
245,통영시,인평동,,산137,산148,34,50,20.235,128,23,51.87,산사태,3497,인평초등학교,"대부분의 암반사면의 상태는 양호하나 배후면의 경사가 급하고, 시점부 암반부의 절리면의 파괴 형태가 불리하게 나타남.",2021-07-29,
246,통영시,도천동,,산7-3임,외 3,34,50,49.599,128,24,16.6,토석류,1594,도리골경로당,하층식생 및 상층임목으들이 고르게 분포하고 있어 대체적으로 안정적으로 보여질 수있으나 계류내 토석류 및 토사가 일부 구간으로 발생하고 있음.,2015-08-31,
247,통영시,광도면,죽림리,산169-1,,34,53,41.833,128,23,27.975,토석류,950,홀리마을회관,저수지상류로서 계류황폐로 인하여 농경지 유실 우려가 있음,2015-08-31,
248,통영시,도산면,관덕리,산206,외1,34,54,10.997,128,22,40.04,산사태,1100,덕치마을회관,계류수가 계류방향이 아닌 사면의 다방향으로 이동하며 토사유출과 수목전도를 발생시키고 있음. 주민의 지속적인 침수 이력이 존재하여 취약지역으로 지정이 필요한 지역임.,2016-06-09,
249,통영시,도산면,도선리,산240임,,34,54,33.397,128,21,28.24,산사태,1001,경남도립통영노인전문병원,인가 부근에 사면의 풍화로 인해 풍화토가 인가로 유입 중이며 수목전도의 가능성이 있어 간벌을 통해 인명피해를 예방할 필요가 있음.,2016-06-09,
250,통영시,광도면,우동리,산118-1임,,34,55,17.546,128,23,42.203,토석류,1380,수직마을회관,"전반적으로 계류 내 뜬돌 및 전석이 다수 적치되어 있으며, 붕괴사면에서 낙석으로 인하여 계상에 뜬돌들이 관찰되고 나무뿌리 및 암편이 노출되어 있으므로 취약지역으로 선정함",2017-06-29,
251,통영시,도산면,관덕리,산151-1임,,34,54,19.999,128,23,42.4,토석류,1814,한퇴새마을회관,최단부 주변 인가가 인접하고 있어 토석류 발생 시 인명 및 재산피해의 우려가 있어 취약지역으로 선정 및 관리가 필요할 것으로 사료됨,2017-06-29,
252,통영시,광도면,죽림리,산199임,산190-2,34,53,17.399,128,23,41.1,토석류,1400,홀리마을회관,"주변에는 농경지, 주택 등이 있고 과거 집중호우 시 토사 유출로 하부 지역에 수해복구사업을 시행하였으며 계류와 산각의 침식이 활발하게 진행되고 있으며 소규모의 U자형 협곡 형태로 계류의 폭이 확장되고 있는 지역임",2016-06-17,
253,통영시,용남면,삼화리,산86임,외 1,34,52,46.399,128,26,57.5,토석류,967,용남초등학교,교회와 연접한 계류로 토석류 발생 시 인명 및 재산피해의 우려가 있어 취약지역으로 선정 및 관리가 필요할 것으로 사료됨,2017-06-29,
254,통영시,광도면,안정리,산173임,,34,56,36.299,128,23,47.8,토석류,2658,벽방초등학교,계류 내 전석이 다수 적치되어 있으며 침식 및 세굴이 발달되어 퇴적물이 다수 적치되어 있어 퇴적물 유동으로 인한 부근 인가의 피해를 예방하고자 취약지역으로 지정하고자 함,2016-06-17,
